t,vx,vy,s,ds
0,2.0761355095907015,0.5198288131504378,0.9999999996714638,1.1198040272830667e-09
1,1.981380684957291,0.6914626751635616,0.9848986446248091,-0.015101355046654663
2,1.8920168739625067,0.8457869675714944,0.957783025118323,-0.02711561950648611
3,1.8085119769908504,0.9826461947793147,0.9318746476126971,-0.025908377505625912
4,1.7303625349415752,1.1037367602832335,0.9070931110087127,-0.02478153660398441
5,1.657118367909006,1.2105709476951796,0.8833650337618605,-0.02372807724685222
6,1.5883759115536493,1.304500044971382,0.8606232963841259,-0.02274173737773455
7,1.5237725107664122,1.3867341446951253,0.8388063795598424,-0.02181691682428355
8,1.4629815159868023,1.4583591575526045,0.817857784740383,-0.020948594819459432
9,1.4057080551386563,1.520351480149418,0.7977255254329697,-0.020132259307413247
10,1.35168537641008,1.5735906809854912,0.7783616792552291,-0.019363846177740562
11,1.3006716751031036,1.6188705058959298,0.7597219923892906,-0.018639686865938532
12,1.2524473323952645,1.6569084535040233,0.7417655293626947,-0.017956463026595926
13,1.2068125057779062,1.6883541298294396,0.7244543621557733,-0.017311167206921385
14,1.1635850207022707,1.7137965572808533,0.7077532935272425,-0.016701068628530824
15,1.1225985209970644,1.733770585369848,0.6916296101945342,-0.016123683332708305
16,1.0837008422536296,1.7487625274531802,0.6760528621294203,-0.015576748065113888
17,1.046752577871774,1.759215128724272,0.6609946647541493,-0.015058197375271032
18,1.0116258120315287,1.7655319547998296,0.6464285212658584,-0.014566143488290884
19,0.9782029976723489,1.76808127699765,0.6323296626914885,-0.014098858574369877
20,0.9463759607571571,1.7671995193060406,0.6186749035932088,-0.013654759098279734
21,0.9160450147836108,1.7631943227236695,0.6054425116147657,-0.013232391978443059
22,0.8871181717676958,1.7563472747932447,0.5926120892898898,-0.012830422324875856
23,0.8595104378373192,1.7469163455127763,0.5801644667311633,-0.012447622558726557
24,0.8331431831948412,1.735138065179962,0.568081603986809,-0.012082862744354328
25,0.8079435775856423,1.7212294749410935,0.5563465019979842,-0.01173510198882477
26,0.783844083584484,1.705389876738288,0.544943121213904,-0.011403380784080208
27,0.7607820010152336,1.6878024058643883,0.5338563070294484,-0.011086814184455562
28,0.7386990566795144,1.668635446349805,0.5230717213022938,-0.010784585727154572
29,0.7175410343084134,1.6480439068420332,0.5125757792860662,-0.01049594201622761
30,0.6972574402871751,1.6261703724318828,0.5023555913842721,-0.010220187901794131
31,0.6778012012514062,1.6031461459765508,0.4923989091882,-0.009956682196072097
32,0.6591283901277283,1.579092190823333,0.4826940753117678,-0.009704833876432228
33,0.6411979776029736,1.5541199854111305,0.47322997657834087,-0.009464098733426907
34,0.6239716063631233,1.5283322989879646,0.46399600014961473,-0.009233976428726143
35,0.6074133857539944,1.5018238966046338,0.454981992215304,-0.00901400793431073
36,0.5914897047867506,1.4746821806046246,0.44617821888501935,-0.008803773330284648
37,0.5761690616482116,1.4469877750091256,0.4375753289405932,-0.00860288994442615
38,0.5614219080833929,1.4188150584771428,0.4291643181183374,-0.008411010822255816
39,0.5472205071997533,1.3902326508902478,0.42093649459621213,-0.008227823522125255
40,0.5335388034027161,1.3613038580575354,0.41288344536042215,-0.008053049235789977
41,0.5203523033131006,1.3320870785486933,0.4049970031191018,-0.007886442241320346
42,0.507637966641711,1.3026361762329253,0.3972692134168366,-0.007727789702265231
43,0.495374106106651,1.2730008217212974,0.3896923015818628,-0.007576911834973776
44,0.48354029557688416,1.2432268055733737,0.3822586391066229,-0.0074336624752399105
45,0.4721172857127823,1.213356325830117,0.37496070902022316,-0.007297930086399729
46,0.46108692645234695,1.1834282521690587,0.36779106975602943,-0.007169639264193728
