trial,accepted,mean_vy,max_viol,status
0,True,0.07811760628459208,6.161737786669619e-14,Solve_Succeeded
1,True,0.07811760628184096,5.218048215738236e-15,Solve_Succeeded
2,True,0.07811760627984142,2.3092638912203256e-14,Solve_Succeeded
3,True,0.07809120835633139,1.184607967275042e-13,Solve_Succeeded
4,True,0.07811760628184129,6.661338147750939e-16,Solve_Succeeded
5,True,0.07787274212100433,1.3100631690576847e-14,Solve_Succeeded
6,True,0.07787527365023093,1.397770788003072e-13,Solve_Succeeded
7,True,-0.14949152555109546,4.9682480351975755e-15,Solve_Succeeded
8,True,-0.1494915255509788,7.313594174718219e-14,Solve_Succeeded
9,True,-0.07078774140856357,4.0314973581701e-14,Solve_Succeeded
10,True,-0.1494915255509788,3.3831271117890083e-13,Solve_Succeeded
11,True,-0.07078774140856359,9.907769049632975e-13,Solve_Succeeded
12,True,-0.08230078831536898,1.3482270855291745e-13,Solve_Succeeded
13,True,-0.1494915255509788,2.350897254643769e-13,Solve_Succeeded
14,True,-0.14949152549371297,1.5795698082854415e-13,Solve_Succeeded
15,False,-0.149491525487725,9.68106014962052e-15,Search_Direction_Becomes_Too_Small
16,True,-0.0822835014211308,2.0143609003042684e-13,Solve_Succeeded
17,True,-0.14949152548371142,4.1417554437118594e-14,Solve_Succeeded
18,True,-0.14949152549268865,4.2404968425557854e-13,Solve_Succeeded
19,True,-0.0814408695261392,2.832734047331087e-13,Solve_Succeeded
