N,best_mean_vy,per_err,dyn_err,status,best_mode,mean_trials,std_trials,n_trials
200,0.06208450275412744,1.4677286961404214e-10,4.4668546639314854e-10,Maximum_CpuTime_Exceeded,piecewise4,-0.11133920094637287,0.1813121996190222,4
210,0.06804589151869136,0.00026841148278319724,0.0012612982225640446,Maximum_CpuTime_Exceeded,warm_resample_200,-0.05624286579428627,0.1152826558794328,6
220,0.07236369241182387,1.8740137341546598e-14,3.419486915845482e-14,Solve_Succeeded,warm_prev,0.0034505747971426254,0.07729196752682638,6
230,0.07499313787026354,0.00034048833018172203,0.0012165912450915473,Maximum_CpuTime_Exceeded,warm_prev,-0.021764781416402913,0.08970693507563987,6
240,0.07660238652620638,0.000361524594142473,0.0017912715410225433,Maximum_CpuTime_Exceeded,warm_resample_230,0.007335685069618884,0.07802908090458881,6
250,0.07782330852809144,1.968411265507306e-08,1.2079582012436418e-07,Maximum_CpuTime_Exceeded,warm_prev,-0.02271816949857436,0.09176721816474313,6
260,0.07795072992669892,2.275957200481571e-15,3.1086244689504383e-15,Solve_Succeeded,warm_prev,-0.007612724990289865,0.08783410381192944,6
270,0.07672907059256728,0.0017359032852835952,0.007723139986727023,Maximum_CpuTime_Exceeded,warm_prev,-0.042639223315812026,0.11221896888471196,6
280,0.07606867837503428,1.995810926541967e-05,5.735878747437084e-05,Maximum_CpuTime_Exceeded,warm_prev,-0.012732119377293868,0.09708864866417785,6
290,0.07439863568381198,0.0001841467186775771,0.0004804812684872095,Maximum_CpuTime_Exceeded,warm_prev,-0.03382077384180448,0.11550034009259823,6
